Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
0,0.000,0.000,0.000
1,0.500,0.852,3.073
2,1.000,1.016,4.301
3,1.500,1.254,5.539
4,2.000,1.330,6.634
5,2.500,1.437,5.790
6,3.000,1.363,5.527
7,3.500,1.089,5.045
8,4.000,1.252,7.404
9,4.500,1.307,8.074
10,5.000,1.169,9.882
11,5.500,1.353,10.997
12,6.000,1.269,13.610
13,6.500,1.566,10.107
14,7.000,1.137,11.608
15,7.500,1.152,12.577
16,8.000,1.123,14.581
17,8.500,1.103,13.919
18,9.000,1.179,12.608
19,9.500,1.386,12.663
20,10.000,1.134,13.156
21,10.500,1.183,11.334
22,11.000,1.347,13.303
23,11.500,1.280,9.674
24,12.000,1.280,10.986
25,12.500,1.295,9.825
26,13.000,1.312,12.595
27,13.500,1.402,14.382
28,14.000,1.136,11.982
29,14.500,1.342,10.572
30,15.000,1.526,14.131
31,15.500,1.603,11.228
32,16.000,1.474,14.590
33,16.500,1.497,13.524
34,17.000,2.046,14.209
35,17.500,1.637,13.559
36,18.000,2.013,13.164
37,18.500,1.789,13.445
38,19.000,1.673,13.231
39,19.500,1.695,12.514
40,20.000,1.474,11.410
41,20.500,1.773,12.229
42,21.000,1.919,15.221
43,21.500,2.000,11.391
44,22.000,1.811,13.501
45,22.500,2.062,12.101
46,23.000,1.914,10.415
47,23.500,1.718,11.008
48,24.000,1.847,10.761
49,24.500,1.912,9.776
50,25.000,1.797,11.295
51,25.500,1.764,12.012
52,26.000,2.000,10.471
53,26.500,1.899,12.848
54,27.000,1.934,12.244
55,27.500,2.053,11.487
56,28.000,1.790,11.903
57,28.500,2.218,12.924
58,29.000,1.837,11.166
59,29.500,1.735,12.617
60,30.000,1.953,9.927
61,30.500,2.013,6.652
62,31.000,1.935,11.127
63,31.500,1.977,12.264
64,32.000,1.760,10.532
65,32.500,1.838,11.554
66,33.000,1.846,11.933
67,33.500,1.779,10.507
68,34.000,1.940,14.976
69,34.500,1.778,14.266
70,35.000,1.838,15.865
71,35.500,1.702,16.749
72,36.000,1.779,17.735
73,36.500,1.817,11.950
74,37.000,1.742,13.423
75,37.500,1.657,9.674
76,38.000,1.841,12.306
77,38.500,1.918,10.342
78,39.000,1.780,13.024
79,39.500,1.824,12.937
