Frame,Time_ns,RMSD_A
0,0.000,0.000
1,0.500,1.764
2,1.000,2.123
3,1.500,2.677
4,2.000,3.079
5,2.500,2.533
6,3.000,2.371
7,3.500,2.570
8,4.000,3.024
9,4.500,3.487
10,5.000,4.679
11,5.500,4.753
12,6.000,5.557
13,6.500,4.665
14,7.000,4.788
15,7.500,5.540
16,8.000,5.907
17,8.500,5.721
18,9.000,5.477
19,9.500,5.229
20,10.000,5.268
21,10.500,4.778
22,11.000,5.533
23,11.500,4.600
24,12.000,4.740
25,12.500,4.205
26,13.000,5.125
27,13.500,5.744
28,14.000,4.838
29,14.500,4.415
30,15.000,5.731
31,15.500,4.759
32,16.000,5.622
33,16.500,5.612
34,17.000,5.990
35,17.500,5.520
36,18.000,5.565
37,18.500,5.715
38,19.000,5.298
39,19.500,5.166
40,20.000,4.640
41,20.500,4.901
42,21.000,6.095
43,21.500,5.283
44,22.000,5.420
45,22.500,5.168
46,23.000,4.657
47,23.500,4.696
48,24.000,4.845
49,24.500,4.343
50,25.000,5.147
51,25.500,5.335
52,26.000,5.046
53,26.500,5.271
54,27.000,4.990
55,27.500,5.389
56,28.000,5.022
57,28.500,5.590
58,29.000,4.621
59,29.500,5.079
60,30.000,4.543
61,30.500,3.253
62,31.000,4.790
63,31.500,5.116
64,32.000,4.641
65,32.500,5.223
66,33.000,5.052
67,33.500,4.592
68,34.000,6.365
69,34.500,6.298
70,35.000,5.888
71,35.500,6.068
72,36.000,6.541
73,36.500,5.103
74,37.000,5.570
75,37.500,4.341
76,38.000,5.139
77,38.500,4.618
78,39.000,5.588
79,39.500,5.488
80,40.000,6.568
81,40.500,7.420
82,41.000,5.773
83,41.500,5.745
84,42.000,5.765
85,42.500,4.923
86,43.000,4.699
87,43.500,5.585
88,44.000,4.944
89,44.500,5.238
90,45.000,4.880
91,45.500,4.982
92,46.000,5.164
93,46.500,6.043
94,47.000,5.527
95,47.500,6.983
96,48.000,6.104
97,48.500,7.105
98,49.000,4.365
99,49.500,4.646
100,50.000,4.835
101,50.500,4.709
102,51.000,4.905
103,51.500,5.038
104,52.000,5.174
105,52.500,5.395
106,53.000,5.198
107,53.500,5.180
108,54.000,5.630
109,54.500,5.514
110,55.000,5.977
111,55.500,5.783
112,56.000,6.116
113,56.500,5.594
114,57.000,6.048
115,57.500,6.494
116,58.000,7.236
117,58.500,7.672
118,59.000,4.995
119,59.500,5.731
120,60.000,6.146
121,60.500,5.908
122,61.000,5.877
123,61.500,5.438
124,62.000,4.804
125,62.500,5.630
126,63.000,5.351
127,63.500,4.715
128,64.000,5.413
129,64.500,5.570
130,65.000,5.199
131,65.500,4.896
132,66.000,5.102
133,66.500,6.478
134,67.000,7.619
135,67.500,7.858
136,68.000,5.753
137,68.500,5.667
138,69.000,5.597
139,69.500,6.071
140,70.000,5.929
141,70.500,4.575
142,71.000,5.607
143,71.500,5.971
144,72.000,5.080
145,72.500,5.456
146,73.000,5.731
147,73.500,5.847
148,74.000,5.995
149,74.500,5.351
150,75.000,6.715
151,75.500,6.053
152,76.000,5.333
153,76.500,5.856
154,77.000,5.253
155,77.500,5.158
156,78.000,6.162
157,78.500,6.377
158,79.000,5.485
159,79.500,5.094
160,80.000,6.080
161,80.500,7.868
162,81.000,6.929
163,81.500,8.603
164,82.000,7.608
165,82.500,5.941
166,83.000,5.508
167,83.500,7.039
168,84.000,6.384
169,84.500,5.973
170,85.000,6.488
171,85.500,7.525
172,86.000,7.161
173,86.500,7.994
174,87.000,6.865
175,87.500,5.811
176,88.000,5.478
177,88.500,7.358
178,89.000,7.559
179,89.500,6.776
180,90.000,6.885
181,90.500,7.637
182,91.000,7.493
183,91.500,9.367
184,92.000,8.598
185,92.500,8.057
186,93.000,8.870
187,93.500,6.110
188,94.000,8.200
189,94.500,6.298
190,95.000,5.654
191,95.500,6.577
192,96.000,5.739
193,96.500,6.596
194,97.000,6.517
195,97.500,6.853
196,98.000,5.499
197,98.500,7.115
198,99.000,7.716
199,99.500,6.133
200,100.000,5.895
201,100.500,5.453
202,101.000,5.959
203,101.500,5.822
204,102.000,5.433
205,102.500,4.753
206,103.000,5.011
207,103.500,6.578
208,104.000,6.865
209,104.500,5.210
210,105.000,5.195
211,105.500,5.006
212,106.000,5.682
213,106.500,4.540
214,107.000,7.045
215,107.500,6.974
216,108.000,6.723
217,108.500,6.234
218,109.000,4.637
219,109.500,3.863
220,110.000,4.777
221,110.500,4.220
222,111.000,4.286
223,111.500,3.454
224,112.000,3.770
225,112.500,4.335
226,113.000,3.777
227,113.500,3.874
228,114.000,4.316
229,114.500,4.722
230,115.000,5.121
231,115.500,5.366
232,116.000,4.774
233,116.500,4.615
234,117.000,4.273
235,117.500,4.438
236,118.000,4.509
237,118.500,4.392
238,119.000,5.030
239,119.500,4.968
240,120.000,4.572
241,120.500,5.005
242,121.000,4.570
243,121.500,4.222
244,122.000,4.499
245,122.500,5.550
246,123.000,4.847
247,123.500,4.667
248,124.000,4.968
249,124.500,4.379
250,125.000,4.413
251,125.500,3.893
252,126.000,4.335
253,126.500,5.074
254,127.000,5.301
255,127.500,5.263
256,128.000,4.949
257,128.500,4.755
258,129.000,5.165
259,129.500,5.557
260,130.000,5.402
261,130.500,5.019
262,131.000,5.378
263,131.500,5.609
264,132.000,5.382
265,132.500,4.820
266,133.000,5.080
267,133.500,4.950
268,134.000,4.987
269,134.500,4.301
270,135.000,5.736
271,135.500,5.576
272,136.000,5.106
273,136.500,5.142
274,137.000,4.867
275,137.500,5.155
276,138.000,5.817
277,138.500,5.174
278,139.000,4.135
279,139.500,5.156
280,140.000,5.089
281,140.500,6.435
282,141.000,5.416
283,141.500,5.405
284,142.000,4.476
285,142.500,4.434
286,143.000,4.495
287,143.500,4.880
288,144.000,4.544
289,144.500,4.255
290,145.000,4.206
291,145.500,5.737
292,146.000,3.388
293,146.500,3.432
294,147.000,4.215
295,147.500,3.545
296,148.000,4.421
297,148.500,4.090
298,149.000,4.234
299,149.500,4.120
300,150.000,4.563
