Time_ns,H-CDR1,H-CDR2,H-CDR3,L-CDR1,L-CDR2,L-CDR3
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.500,4.093,4.556,3.256,1.581,2.140,1.242
1.000,8.018,9.692,3.910,3.829,2.338,2.618
1.500,8.681,9.972,4.415,6.471,2.798,3.382
2.000,9.502,9.282,4.984,5.553,2.501,3.317
2.500,8.506,7.139,5.163,6.729,2.772,4.299
3.000,8.229,7.210,4.152,5.994,2.920,3.327
3.500,5.732,4.499,4.620,4.564,2.990,2.416
4.000,5.044,4.703,3.533,4.499,2.787,2.249
4.500,6.556,7.502,3.347,5.203,2.634,2.925
5.000,8.378,9.175,5.018,4.290,3.390,1.782
5.500,5.555,5.940,3.830,5.034,2.682,2.488
6.000,7.517,8.569,4.004,5.446,2.590,3.386
6.500,8.319,8.501,4.649,6.148,2.789,3.369
7.000,9.813,10.083,6.435,5.742,3.557,3.494
7.500,8.695,9.014,5.286,5.712,3.099,2.900
8.000,9.182,10.034,5.350,5.009,3.046,2.657
8.500,4.666,5.921,4.115,4.250,2.666,2.191
9.000,5.515,6.425,4.479,4.671,2.978,2.696
9.500,4.134,6.731,4.641,6.591,3.587,4.727
10.000,6.537,7.590,3.850,6.033,2.797,2.724
10.500,4.288,5.227,2.996,4.403,2.968,1.901
11.000,4.671,5.568,2.514,4.399,2.458,2.551
11.500,4.768,5.958,3.346,4.211,2.440,2.484
12.000,6.039,7.712,4.281,3.320,2.482,3.421
12.500,4.890,6.107,3.622,2.863,1.758,2.521
13.000,6.697,6.821,4.279,4.138,2.810,2.556
13.500,5.271,4.343,3.280,5.198,2.548,2.994
14.000,1.870,1.858,2.723,4.387,2.929,2.642
14.500,2.918,3.141,2.833,5.442,2.164,4.124
15.000,4.931,4.373,3.135,6.250,2.179,4.817
15.500,5.839,6.135,3.490,5.238,2.336,2.669
16.000,6.060,4.900,3.465,5.408,2.581,4.747
16.500,3.382,4.539,3.242,3.837,2.540,1.928
