Frame,Time_ns,RMSD_pHLA_fit_A,RMSD_antibody_A
0,0.000,0.000,0.000
1,0.500,0.846,3.133
2,1.000,0.822,8.076
3,1.500,0.807,9.800
4,2.000,1.086,10.486
5,2.500,0.916,8.433
6,3.000,1.014,8.461
7,3.500,1.091,4.764
8,4.000,1.050,5.227
9,4.500,1.148,7.732
10,5.000,1.477,5.999
11,5.500,1.097,5.583
12,6.000,1.194,8.250
13,6.500,1.314,8.246
14,7.000,1.320,8.031
15,7.500,1.402,7.565
16,8.000,1.488,7.678
17,8.500,1.333,4.714
18,9.000,1.396,5.262
19,9.500,1.352,6.042
20,10.000,1.217,6.855
21,10.500,1.358,4.399
22,11.000,1.437,5.953
23,11.500,1.374,4.542
24,12.000,1.385,4.131
25,12.500,1.446,4.318
26,13.000,1.571,4.362
27,13.500,1.410,5.727
28,14.000,1.510,3.965
29,14.500,1.588,4.942
30,15.000,1.418,6.249
31,15.500,1.578,6.392
32,16.000,1.464,7.043
33,16.500,1.459,3.379
34,17.000,1.639,3.403
35,17.500,1.473,3.637
36,18.000,1.351,4.360
37,18.500,1.564,7.297
38,19.000,1.474,4.742
39,19.500,1.509,3.816
40,20.000,1.570,3.127
41,20.500,1.462,3.345
42,21.000,1.626,3.933
43,21.500,1.675,3.274
44,22.000,1.489,2.937
45,22.500,1.677,3.614
46,23.000,1.657,3.539
47,23.500,1.470,3.983
48,24.000,1.477,3.548
49,24.500,1.483,4.762
50,25.000,1.540,6.752
51,25.500,1.657,5.625
52,26.000,1.854,7.398
53,26.500,1.789,8.725
54,27.000,1.796,9.246
55,27.500,1.791,9.273
56,28.000,1.880,8.746
57,28.500,1.685,6.868
58,29.000,1.668,8.050
59,29.500,1.532,6.450
60,30.000,1.601,6.078
61,30.500,1.429,5.635
62,31.000,1.499,7.457
63,31.500,1.616,7.172
64,32.000,1.512,4.756
65,32.500,1.607,5.975
66,33.000,1.592,4.816
67,33.500,1.461,6.183
68,34.000,1.720,6.235
69,34.500,1.935,8.081
70,35.000,1.622,9.873
71,35.500,1.761,10.517
72,36.000,1.658,6.795
73,36.500,1.652,9.163
74,37.000,1.581,11.253
75,37.500,1.527,11.971
76,38.000,1.655,8.523
77,38.500,1.655,8.087
78,39.000,1.790,8.437
79,39.500,1.383,9.250
80,40.000,1.260,6.507
81,40.500,1.578,8.433
82,41.000,1.519,7.126
83,41.500,1.566,8.790
84,42.000,1.594,7.320
85,42.500,1.467,6.797
86,43.000,1.637,9.118
87,43.500,1.758,9.381
88,44.000,1.772,10.440
89,44.500,1.637,9.316
90,45.000,1.596,8.297
91,45.500,1.736,7.258
92,46.000,1.834,8.009
93,46.500,1.633,7.802
94,47.000,1.695,9.053
95,47.500,1.682,6.665
96,48.000,1.725,8.392
97,48.500,1.678,7.270
98,49.000,1.808,8.481
99,49.500,1.699,7.031
100,50.000,1.492,5.778
101,50.500,1.547,6.744
102,51.000,1.729,6.059
103,51.500,1.681,7.082
104,52.000,1.709,6.701
105,52.500,1.685,7.232
106,53.000,1.597,6.768
107,53.500,1.474,8.272
108,54.000,1.535,5.192
109,54.500,1.571,6.759
110,55.000,1.607,7.437
111,55.500,1.531,7.090
112,56.000,1.548,8.052
113,56.500,1.410,7.872
114,57.000,1.417,6.846
115,57.500,1.401,6.634
116,58.000,1.343,7.158
117,58.500,1.735,7.675
118,59.000,1.622,6.961
119,59.500,1.718,7.162
120,60.000,1.427,6.331
121,60.500,1.667,6.885
122,61.000,1.765,5.978
123,61.500,1.667,8.327
124,62.000,1.771,8.350
125,62.500,1.836,10.846
126,63.000,1.897,7.541
127,63.500,2.070,9.685
